sensor	oversampling	sec	temperature	pressure
HP206C	256	0.0	22.61	1003.65
HP206C	256	0.012	22.64	1003.56
HP206C	256	0.023	22.66	1003.64
HP206C	256	0.034	22.68	1003.49
HP206C	256	0.045	22.7	1003.59
HP206C	256	0.056	22.71	1003.76
HP206C	256	0.068	22.73	1003.58
HP206C	256	0.079	22.72	1003.88
HP206C	256	0.09	22.72	1003.89
HP206C	256	0.101	22.74	1003.75
HP206C	256	0.113	22.74	1003.66
HP206C	256	0.124	22.75	1003.94
HP206C	256	0.135	22.76	1003.72
HP206C	256	0.146	22.76	1003.75
HP206C	256	0.158	22.76	1003.69
HP206C	256	0.169	22.76	1003.63
HP206C	256	0.18	22.76	1003.96
HP206C	256	0.191	22.77	1003.71
HP206C	256	0.202	22.77	1003.89
HP206C	256	0.214	22.76	1003.88
HP206C	256	0.225	22.77	1003.76
HP206C	256	0.236	22.78	1003.63
HP206C	256	0.247	22.77	1003.88
HP206C	256	0.259	22.77	1003.63
HP206C	256	0.27	22.78	1003.97
HP206C	256	0.281	22.78	1003.68
HP206C	256	0.292	22.79	1003.57
HP206C	256	0.303	22.78	1003.85
HP206C	256	0.315	22.78	1003.9
HP206C	256	0.326	22.78	1003.85
HP206C	256	0.337	22.79	1004.12
HP206C	256	0.348	22.79	1003.83
HP206C	256	0.36	22.79	1003.96
HP206C	256	0.371	22.79	1003.89
HP206C	256	0.382	22.79	1003.9
HP206C	256	0.393	22.8	1003.87
HP206C	256	0.405	22.79	1003.88
HP206C	256	0.416	22.8	1004.04
HP206C	256	0.427	22.79	1003.81
HP206C	256	0.438	22.8	1004.21
HP206C	256	0.449	22.79	1003.68
HP206C	256	0.461	22.79	1003.85
HP206C	256	0.472	22.8	1003.88
HP206C	256	0.483	22.8	1003.83
HP206C	256	0.494	22.79	1003.84
HP206C	256	0.506	22.79	1003.74
HP206C	256	0.517	22.79	1004.06
HP206C	256	0.528	22.8	1003.91
HP206C	256	0.539	22.8	1004.12
HP206C	256	0.551	22.79	1004.11
HP206C	256	0.562	22.79	1004.03
HP206C	256	0.573	22.8	1003.68
HP206C	256	0.584	22.8	1003.9
HP206C	256	0.596	22.8	1003.95
HP206C	256	0.607	22.79	1003.98
HP206C	256	0.618	22.8	1003.65
HP206C	256	0.629	22.8	1003.99
HP206C	256	0.64	22.81	1003.9
HP206C	256	0.652	22.8	1003.7
HP206C	256	0.663	22.79	1003.74
HP206C	256	0.674	22.8	1003.81
HP206C	256	0.685	22.8	1004.19
HP206C	256	0.697	22.8	1003.91
HP206C	256	0.708	22.82	1004.07
HP206C	256	0.719	22.8	1003.75
HP206C	256	0.73	22.81	1003.8
HP206C	256	0.742	22.8	1003.92
HP206C	256	0.753	22.8	1003.88
HP206C	256	0.764	22.8	1003.99
HP206C	256	0.775	22.8	1003.75
HP206C	256	0.786	22.8	1003.96
HP206C	256	0.798	22.81	1003.87
HP206C	256	0.809	22.81	1004.01
HP206C	256	0.82	22.8	1003.99
HP206C	256	0.831	22.81	1003.88
HP206C	256	0.843	22.8	1004.02
HP206C	256	0.854	22.81	1003.85
HP206C	256	0.865	22.8	1003.75
HP206C	256	0.876	22.8	1003.65
HP206C	256	0.887	22.81	1003.71
HP206C	256	0.899	22.8	1003.64
HP206C	256	0.91	22.81	1003.86
HP206C	256	0.921	22.81	1003.98
HP206C	256	0.933	22.8	1003.84
HP206C	256	0.944	22.81	1003.91
HP206C	256	0.955	22.81	1004.07
HP206C	256	0.966	22.8	1003.84
HP206C	256	0.978	22.81	1004.04
HP206C	256	0.989	22.81	1003.78
HP206C	256	1.0	22.81	1004.01
HP206C	256	1.011	22.82	1004.0
HP206C	256	1.023	22.81	1003.88
HP206C	256	1.034	22.81	1003.89
HP206C	256	1.045	22.81	1003.96
HP206C	256	1.056	22.82	1003.75
HP206C	256	1.067	22.82	1003.72
HP206C	256	1.079	22.82	1004.0
HP206C	256	1.09	22.81	1003.63
HP206C	256	1.101	22.82	1003.78
HP206C	256	1.112	22.82	1003.73
HP206C	256	1.124	22.81	1003.91
HP206C	256	1.135	22.82	1003.91
HP206C	256	1.146	22.82	1003.98
HP206C	256	1.157	22.81	1003.85
HP206C	256	1.169	22.82	1003.67
HP206C	256	1.18	22.81	1003.9
HP206C	256	1.191	22.82	1003.82
HP206C	256	1.202	22.81	1003.88
HP206C	256	1.214	22.82	1003.9
HP206C	256	1.226	22.8	1003.86
HP206C	256	1.237	22.81	1003.82
HP206C	256	1.248	22.81	1004.12
HP206C	256	1.259	22.82	1003.82
HP206C	256	1.271	22.82	1003.91
HP206C	256	1.282	22.82	1003.94
HP206C	256	1.293	22.82	1004.05
HP206C	256	1.304	22.82	1003.62
HP206C	256	1.315	22.82	1003.92
HP206C	256	1.327	22.82	1003.95
HP206C	256	1.338	22.82	1003.67
HP206C	256	1.349	22.82	1003.75
HP206C	256	1.36	22.82	1003.89
HP206C	256	1.372	22.81	1003.89
HP206C	256	1.383	22.82	1003.94
HP206C	256	1.394	22.81	1003.75
HP206C	256	1.405	22.82	1003.92
HP206C	256	1.417	22.82	1003.75
HP206C	256	1.428	22.82	1003.68
HP206C	256	1.439	22.82	1004.13
HP206C	256	1.45	22.82	1003.62
HP206C	256	1.462	22.82	1003.67
HP206C	256	1.473	22.82	1003.91
HP206C	256	1.484	22.81	1003.91
HP206C	256	1.495	22.83	1003.85
HP206C	256	1.507	22.82	1003.71
HP206C	256	1.518	22.82	1004.03
HP206C	256	1.529	22.82	1003.79
HP206C	256	1.54	22.83	1003.87
HP206C	256	1.552	22.83	1003.69
HP206C	256	1.563	22.82	1003.94
HP206C	256	1.574	22.82	1003.83
HP206C	256	1.585	22.83	1003.87
HP206C	256	1.597	22.82	1003.81
HP206C	256	1.608	22.82	1003.6
HP206C	256	1.619	22.83	1003.84
HP206C	256	1.63	22.83	1003.87
HP206C	256	1.641	22.82	1003.94
HP206C	256	1.653	22.84	1004.21
HP206C	256	1.664	22.83	1003.77
HP206C	256	1.675	22.83	1003.91
HP206C	256	1.686	22.83	1003.94
HP206C	256	1.698	22.83	1003.92
HP206C	256	1.709	22.82	1003.84
HP206C	256	1.72	22.83	1004.19
HP206C	256	1.731	22.83	1004.06
HP206C	256	1.742	22.83	1003.97
HP206C	256	1.754	22.83	1004.11
HP206C	256	1.765	22.82	1003.7
HP206C	256	1.776	22.82	1003.76
HP206C	256	1.787	22.83	1003.87
HP206C	256	1.799	22.83	1003.89
HP206C	256	1.81	22.83	1003.64
HP206C	256	1.821	22.83	1003.69
HP206C	256	1.832	22.82	1003.55
HP206C	256	1.844	22.83	1003.53
HP206C	256	1.855	22.82	1003.82
HP206C	256	1.866	22.83	1003.79
HP206C	256	1.877	22.83	1004.02
HP206C	256	1.888	22.83	1003.69
HP206C	256	1.9	22.83	1003.95
HP206C	256	1.911	22.83	1003.9
HP206C	256	1.922	22.83	1003.97
HP206C	256	1.933	22.83	1003.75
HP206C	256	1.945	22.82	1004.03
HP206C	256	1.956	22.83	1003.85
HP206C	256	1.967	22.83	1004.13
HP206C	256	1.978	22.83	1004.15
HP206C	256	1.99	22.83	1003.7
HP206C	256	2.001	22.83	1003.86
HP206C	256	2.012	22.83	1003.85
HP206C	256	2.023	22.84	1003.85
HP206C	256	2.035	22.84	1003.87
HP206C	256	2.046	22.83	1004.04
HP206C	256	2.057	22.83	1003.59
HP206C	256	2.068	22.83	1003.81
HP206C	256	2.079	22.84	1003.66
HP206C	256	2.091	22.83	1003.7
HP206C	256	2.102	22.84	1003.82
HP206C	256	2.113	22.83	1003.89
HP206C	256	2.124	22.83	1003.88
HP206C	256	2.136	22.84	1004.11
HP206C	256	2.147	22.84	1003.89
HP206C	256	2.158	22.83	1003.86
HP206C	256	2.169	22.84	1003.94
HP206C	256	2.181	22.83	1003.73
HP206C	256	2.192	22.84	1004.07
HP206C	256	2.203	22.84	1003.76
HP206C	256	2.214	22.84	1003.87
HP206C	256	2.226	22.84	1003.9
HP206C	256	2.237	22.82	1003.92
HP206C	256	2.248	22.83	1003.67
HP206C	256	2.259	22.84	1003.81
HP206C	256	2.27	22.84	1003.89
HP206C	256	2.282	22.85	1003.95
HP206C	256	2.293	22.83	1003.94
HP206C	256	2.304	22.84	1003.71
HP206C	256	2.315	22.84	1003.82
HP206C	256	2.327	22.84	1003.92
HP206C	256	2.338	22.84	1003.97
HP206C	256	2.349	22.83	1003.7
HP206C	256	2.36	22.84	1004.08
HP206C	256	2.372	22.84	1003.87
HP206C	256	2.383	22.84	1003.67
HP206C	256	2.394	22.84	1004.01
HP206C	256	2.405	22.84	1003.77
HP206C	256	2.416	22.84	1003.82
HP206C	256	2.428	22.83	1003.73
HP206C	256	2.439	22.83	1003.89
HP206C	256	2.45	22.83	1003.84
HP206C	256	2.462	22.83	1003.83
HP206C	256	2.473	22.84	1003.85
HP206C	256	2.485	22.84	1003.9
HP206C	256	2.496	22.84	1003.72
HP206C	256	2.507	22.84	1003.78
HP206C	256	2.518	22.84	1003.9
HP206C	256	2.529	22.84	1003.81
HP206C	256	2.541	22.84	1003.94
HP206C	256	2.552	22.83	1003.72
HP206C	256	2.563	22.83	1004.11
HP206C	256	2.574	22.84	1003.88
HP206C	256	2.586	22.84	1003.55
